headword,pos,ipa,definition,example,gloss_de,etymology,mnemonic,tags,freq
ephemeral,adj.,/ɪˈfem.ər.əl/,lasting for a very short time,The ephemeral beauty of cherry blossoms,vergänglich,Greek ephēmeros (lasting a day),ef-FEM-eral: feminine beauty fades fast,academic;philosophy,2.1
ubiquitous,adj.,/juːˈbɪk.wɪ.təs/,present everywhere at once,Smartphones are ubiquitous in modern society,allgegenwärtig,Latin ubique (everywhere),you-BIKE-with-us: bikes everywhere with us,academic;technology,2.3
paradigm,n.,/ˈpær.ə.daɪm/,a typical example or pattern,The scientific paradigm shifted with Einstein,Paradigma,Greek paradeigma (pattern),PAIR-a-dime: a pair costs a dime (standard price),academic;science,2.2
spurious,adj.,/ˈspjʊə.ri.əs/,false or fake; not genuine,The data contained spurious correlations,falsch,Latin spurius (illegitimate),SPOOR-ious: fake animal tracks (spoor),academic;statistics,2.4
insidious,adj.,/ɪnˈsɪd.i.əs/,proceeding in a gradual harmful way,The disease spread in an insidious manner,heimtückisch,Latin insidiosus (cunning),in-SID-ious: sneaking inside us,academic;medical,2.2
cogent,adj.,/ˈkəʊ.dʒənt/,clear and convincing,She made a cogent argument for reform,überzeugend,Latin cōgēns (compelling),CO-gent: together (co) with a gentleman's logic,academic;rhetoric,2.5
laconic,adj.,/ləˈkɒn.ɪk/,using very few words; concise,His laconic reply: 'No.',lakonisch,Greek Lakōnikos (Spartan-like),la-CONIC: lack-onic = lacking words,academic;writing,2.6
penultimate,adj.,/penˈʌl.tɪ.mət/,second to last,The penultimate chapter of the book,vorletzte,Latin paene (almost) + ultimus (last),pen-ULTIMATE: pen is almost last tool (before computer),academic;general,2.7
juxtapose,v.,/ˌdʒʌk.stəˈpəʊz/,place close together for contrast,The artist juxtaposed light and shadow,gegenüberstellen,Latin juxta (beside) + French poser (to place),JUKEBOX-pose: songs placed side by side,academic;art,2.4
esoteric,adj.,/ˌes.əˈter.ɪk/,intended for or understood by only a small group,The philosopher's esoteric teachings,esoterisch,Greek esōterikos (inner),eso-TERROR-ick: inner circle terror (exclusive),academic;philosophy,2.3
surreptitious,adj.,/ˌsʌr.əpˈtɪʃ.əs/,done secretly or stealthily,He cast a surreptitious glance at his watch,heimlich,Latin surreptīcius (stolen),sir-REP-TITIOUS: sir reptile moves stealthily,academic;behavior,2.2
ameliorate,v.,/əˈmiː.li.ə.reɪt/,make better; improve,Policies to ameliorate poverty,verbessern,Latin melior (better),a-MELEE-orate: after a melee make things better,academic;policy,2.5
dichotomy,n.,/daɪˈkɒt.ə.mi/,a division into two contrasting parts,The dichotomy between rich and poor,Dichotomie,Greek dikhotomia (cutting in two),die-CHOP-to-me: die by being chopped in two,academic;philosophy,2.1
verbose,adj.,/vɜːˈbəʊs/,using more words than needed,The professor's verbose lecture,weitschweifig,Latin verbōsus (wordy),VERB-ose: overdose of verbs,academic;writing,2.6
anomaly,n.,/əˈnɒm.ə.li/,something that deviates from the norm,The test result was an anomaly,Anomalie,Greek anōmalia (irregularity),a-NOM-aly: not (a) normal (nom-),academic;science,2.3
capricious,adj.,/kəˈprɪʃ.əs/,given to sudden changes of mood,The capricious weather ruined our plans,launisch,Italian capriccio (sudden start),CAP-RICIOUS: rich person's cap whims,academic;personality,2.4
obfuscate,v.,/ˈɒb.fʌs.keɪt/,make unclear or difficult to understand,The jargon obfuscates the meaning,verschleiern,Latin obfuscāre (to darken),ob-FUSS-cate: objects fuss creates confusion,academic;rhetoric,2.5
voracious,adj.,/vəˈreɪ.ʃəs/,wanting or consuming great quantities,A voracious appetite for knowledge,gefräßig,Latin vorāx (greedy),VOR-acious: devour-acious (eating everything),academic;behavior,2.3
platitude,n.,/ˈplæt.ɪ.tjuːd/,a trite or banal statement,The speech was full of platitudes,Plattitüde,French platitude (flatness),PLAT-itude: flat (plat) attitude = boring statement,academic;rhetoric,2.6
tenuous,adj.,/ˈten.ju.əs/,very weak or slight,The connection was tenuous at best,dünn,Latin tenuis (thin),TEN-you-us: thin thread between ten and us,academic;general,2.4
