
headword,pos,ipa,definition,example,gloss_de,etymology,mnemonic,tags,freq
Assiduously,adv,,"showing great care, attention, and effort; with persistent application",,,from Latin assiduus meaning 'attending constantly',Always sit by your tasks like a patient assiduous assistant,,
Finagle,v,,to obtain something by devious or dishonest means,,,American English (1920s) from dialect 'fainaigue' or 'fiddle',FINAGLE your way to get the 'fin' with cunning,,
Histrionics,n,,exaggerated dramatic behavior intended to attract attention,,,from French histrionique and Latin histrio meaning actor,HIStrionics are his theatrical tricks on stage,,
Scalawag,n,,a mischievous or disreputable person; a rascal,,,"originally a drover's word for ill-conditioned cattle, later used for worthless persons",A scalawag is a scaly wagging rascal,,
Mooching,v,,to beg or ask for something without paying; to wander aimlessly,,,"from Old French muchier ‘to hide, lurk’",MOOCHING like a cow slowly wanders and begs for food,,
Cocklebur,n,,a weed of the genus Xanthium with hooked prickly burs,,,from cockle + bur; genus name from Greek xanthos ‘yellow’,Cocklebur burrs stick like Velcro on cockle shells,,
Canker,n,,an erosive or spreading sore; a plant disease causing dead tissue,,,from Latin cancer meaning ‘crab’ or ‘ulcer’,CANKER sores are like tiny cancers on plants,,
Gallivanting,v,,to travel or roam about for pleasure or entertainment,,,from playful elaboration of gallant in early 1800s meaning ‘to flirt’,Gallivanting is gallantly roaming for fun,,
Sallow,adj,,of an unhealthy yellowish or pale brown color,,,"from Old English salu, Proto-Germanic salwō meaning ‘yellow or pale’",Sallow skin is sickly yellow like a stale salad,,
Tattletale,n,,a person who tells secrets about others’ wrongdoings,,,"compound of tattle + tale, patterned on telltale (1880s)",A tattletale tells tales on others,,
Botheration,n,,a state of annoyance or worry; something bothersome,,,"noun of action from bother, first recorded in 1788",Botheration is bother plus irritation,,
Phantasmagoric,adj,,having a fantastic or deceptive appearance like a dream,,,from French fantasmagorie based on fantasme ‘phantasm’,Phantasmagoric scenes are ghostly fantasies,,
Vamoose,v,,to depart quickly; to leave hurriedly,,,"from Spanish vamos meaning ‘let’s go’, from Latin vadere",Say ‘vamos!’ and vamoose when you leave fast,,
Pusillanimous,adj,,showing a lack of courage; timid and cowardly,,,from Latin pusillus ‘very small’ + animus ‘spirit’,Pusillanimous people have a pusill-ly small spirit,,
Fastidious,adj,,very attentive to detail; hard to please; excessively concerned with cleanliness,,,"from Latin fastidiosus ‘disdainful’, from fastidium ‘loathing’",Fastidious folks tidy things fast and fuss over details,,
Jocular,adj,,characterized by joking; playful and humorous,,,from Latin iocularis meaning ‘funny’ or ‘comic’,Jocular jokes bring jocose laughter,,
Chaperone,n/v,,a person who accompanies and supervises a young person; to act as such,,,"from French chaperon meaning ‘hood’, ‘protector’",A chaperone keeps you safe under their hood,,
Fête,v,,to honor or entertain lavishly; to celebrate,,,"from French fête (feast), from Old French feste",A fête is a feast; to fete someone is to feast them,,
Derring-do,n,,"brave, daring deeds; heroic action",,,misinterpretation of Middle English dorring don ‘daring to do’,Derring-do is daring deeds you do,,
Ignominious,adj,,deserving or causing public disgrace or shame,,,"from Latin ignominiosus ‘disgraceful’, from ignominia ‘disgrace’ (in- ‘not’ + nomen ‘name’)",Ignominious: you lose your name (nomen) in shame,,
